"","n","hypothesis","normality","p","mean","BF","Shapiro"
"3739",15,"Ha",TRUE,0.0673306298713969,6.07051494552502,1.22401444070064,0.194428158429119
"3740",40,"Ha",TRUE,0.117850923534151,2.91120709645445,0.54854407409375,0.573191570649035
"3741",150,"Ha",TRUE,9.96318635746557e-06,3.84917649761127,1372.39857483461,0.0354574220817038
"3742",15,"Ha",FALSE,0.184724837618553,3.71642463815117,0.589432316587191,0.314043793828805
"3743",40,"Ha",FALSE,0.00478821925107985,5.14981399462509,7.69055338632853,0.0598385210053128
"3744",150,"Ha",FALSE,5.67494409396267e-08,4.38218167728053,186839.539743094,1.80982359927076e-06
"3745",15,"H0",TRUE,0.970610713064147,0.104996396416434,0.262514722443856,0.462848999436607
"3746",40,"H0",TRUE,0.855823064855198,0.321496548047832,0.173286009885465,0.2571687138217
"3747",150,"H0",TRUE,0.0920477445244458,1.2764784821942,0.367996999831205,0.579011528915061
"3748",15,"H0",FALSE,0.526299073614112,-1.78590573990908,0.315593723476293,0.00905497894490569
"3749",40,"H0",FALSE,0.898598185904335,-0.192577622478278,0.171904595537293,0.00599000722317574
"3750",150,"H0",FALSE,0.209233040286879,1.07070580802122,0.197701610344815,1.18236084113558e-07
"3751",15,"Ha",TRUE,0.000609261634130115,8.75667542249582,59.3006884407418,0.667785158215829
"3752",40,"Ha",TRUE,0.0318670763545195,3.23214924557125,1.54181378695026,0.474273594485099
"3753",150,"Ha",TRUE,9.23175919695966e-07,4.11346697348021,13053.0333357934,0.437361010954964
"3754",15,"Ha",FALSE,0.0244742826852484,6.28885588676132,2.69520216912021,0.32612517175461
"3755",40,"Ha",FALSE,0.145785794235281,2.51049137350076,0.468528793105996,0.000267699187861885
"3756",150,"Ha",FALSE,1.29898902712744e-06,4.30265528498967,9435.93495348462,6.12594740567622e-08
"3757",15,"H0",TRUE,0.0497980300652143,6.37819803260052,1.54180657917231,0.891704879755885
"3758",40,"H0",TRUE,0.479934281729805,1.161697379176,0.216447010282895,0.322949214572126
"3759",150,"H0",TRUE,0.312516746659594,-0.886504030765331,0.150293197186121,0.411954723570578
"3760",15,"H0",FALSE,0.849943350059713,-0.335736163258964,0.266707929755327,0.869888726640445
"3761",40,"H0",FALSE,0.520416420329267,-0.915073742122737,0.207747176285365,0.0156983404537297
"3762",150,"H0",FALSE,0.574879831052181,0.485729941548073,0.106187762726416,8.86474278565797e-07
"3763",15,"Ha",TRUE,0.129530423905951,4.83145873261884,0.755331296605364,0.444468471313291
"3764",40,"Ha",TRUE,0.000127346993771292,7.0993009809084,195.16629043723,0.648310873610723
"3765",150,"Ha",TRUE,1.4843460361859e-05,3.52958816242339,942.787780666126,0.0142962768907722
"3766",15,"Ha",FALSE,0.180300078359447,3.63538024842447,0.599264755018757,0.00303898813875029
"3767",40,"Ha",FALSE,0.000511438713961297,5.77164254831166,55.5972918552735,0.00138265114468856
"3768",150,"Ha",FALSE,4.044743642297e-09,5.01809004852033,2356472.80847356,1.01153585938901e-06
"3769",15,"H0",TRUE,0.67271970404794,-1.06170258652113,0.284802539678378,0.886257025620064
"3770",40,"H0",TRUE,0.72646230870842,0.545638265783239,0.180836030519473,0.0179660427894776
"3771",150,"H0",TRUE,0.248827678549705,-0.959893947137031,0.175070256238322,0.914682754577359
