"","n","k","normality","sphericity","hypothesis","p","BF","mauchly","mardia","eta"
"14581",15,3,TRUE,TRUE,"H0",0.856,0.190211214948343,0.086,0.774259614079442,0.007
"14582",45,3,TRUE,TRUE,"H0",0.768,0.0944890336053913,0.276,0.418855257456452,0.004
"14583",150,3,TRUE,TRUE,"H0",0.093,0.297601418961973,0.239,0.994418768664346,0.011
"14584",15,3,FALSE,TRUE,"H0",0.908,0.178408218819146,0.048,0.494562206712118,0.005
"14585",45,3,FALSE,TRUE,"H0",0.082,0.674799750426953,0.116,0.123051056897769,0.03
"14586",150,3,FALSE,TRUE,"H0",0.102,0.241913662792491,0.347,0,0.01
"14587",15,3,TRUE,FALSE,"H0",0.439,0.291627779093609,0.369,0.892770895749881,0.018
"14588",45,3,TRUE,FALSE,"H0",0.978,0.0726347235247696,0.003,0.931976674115091,0.000161
"14589",150,3,TRUE,FALSE,"H0",0.598,0.0393267021174306,0.012,0.677276567769499,0.001
"14590",15,3,TRUE,TRUE,"Ha",0.019,6.17345207324663,0.996,0.996677345609409,0.176
"14591",45,3,TRUE,TRUE,"Ha",0.002,45.706497072368,0.752,0.861295475320198,0.094
"14592",150,3,TRUE,TRUE,"Ha",4.56e-07,160853.931671108,0.408,0.892528730553513,0.066
"14593",15,3,FALSE,TRUE,"Ha",0.082,1.54201729023609,0.957,0.920355012436252,0.117
"14594",45,3,FALSE,TRUE,"Ha",0.002,46.7449110050527,0.485,0.0151127693040779,0.097
"14595",150,3,FALSE,TRUE,"Ha",1.07e-11,14926894568.2607,0.000303,2.94433036063246e-07,0.111
"14596",15,3,TRUE,FALSE,"Ha",0.145,0.686516318439432,0.019,0.997815983983557,0.055
"14597",45,3,TRUE,FALSE,"Ha",0.003,12.7055733260226,0.229,0.804065055932201,0.041
"14598",150,3,TRUE,FALSE,"Ha",7.82e-16,7584343003889.89,2.1e-05,0.635981062340203,0.085
"14599",15,3,TRUE,TRUE,"H0",0.821,0.197387973357578,0.345,0.910725279745644,0.009
"14600",45,3,TRUE,TRUE,"H0",0.465,0.142393471264206,0.587,0.664240537262428,0.01
"14601",150,3,TRUE,TRUE,"H0",0.556,0.0446545054652802,0.137,0.9992681602736,0.003
"14602",15,3,FALSE,TRUE,"H0",0.087,1.21438393704221,0.947,0.991020510794605,0.095
"14603",45,3,FALSE,TRUE,"H0",0.473,0.151909877007467,0.893,0.0993751468743235,0.013
"14604",150,3,FALSE,TRUE,"H0",0.649,0.0391619039490348,0.299,7.68274333040608e-14,0.002
"14605",15,3,TRUE,FALSE,"H0",0.571,0.252387448138718,0.096,0.837167168952323,0.02
"14606",45,3,TRUE,FALSE,"H0",0.273,0.214648711012724,0.000776,0.98341237381364,0.012
"14607",150,3,TRUE,FALSE,"H0",0.896,0.027298533112018,4.08e-05,0.980592247912607,0.000325
"14608",15,3,TRUE,TRUE,"Ha",0.418,0.35646229780453,0.913,0.684222278774858,0.046
"14609",45,3,TRUE,TRUE,"Ha",0.002,27.6648801928596,0.152,0.0788882402307967,0.085
"14610",150,3,TRUE,TRUE,"Ha",3.2e-07,101786.170390602,0.714,0.321147911026196,0.062
"14611",15,3,FALSE,TRUE,"Ha",0.073,1.8141715331966,0.257,0.916309344231012,0.125
"14612",45,3,FALSE,TRUE,"Ha",0.032,2.44268003572675,0.637,0.141802807626206,0.055
"14613",150,3,FALSE,TRUE,"Ha",1.51e-12,45935042206.2504,0.991,1.75473278130056e-08,0.112
"14614",15,3,TRUE,FALSE,"Ha",0.021,4.69110815752698,0.177,0.999143726815451,0.158
"14615",45,3,TRUE,FALSE,"Ha",0.000849,34.4096051170157,0.249,0.957737451540775,0.063
"14616",150,3,TRUE,FALSE,"Ha",3.12e-12,2458350516.90682,6.7e-05,0.988350200136947,0.066
"14617",15,3,TRUE,TRUE,"H0",0.797,0.198877860927861,0.905,0.797539458722934,0.013
