"n","k","normality","sphericity","hypothesis","p","BF","mauchly","mardia","eta"
45,3,FALSE,TRUE,"Ha",0.004,12.915468203502,0.606,0.408274801737526,0.073
150,3,FALSE,TRUE,"Ha",3.4e-10,376692433.14677,0.634,1.06360188822929e-06,0.097
15,3,TRUE,FALSE,"Ha",0.032,2.0091023155266,0.518,0.956257351071267,0.059
45,3,TRUE,FALSE,"Ha",8.33e-05,305.009115558458,0.008,0.346314284484697,0.091
150,3,TRUE,FALSE,"Ha",2.09e-14,355887706869.483,8.42e-08,0.901235369228751,0.091
15,3,TRUE,TRUE,"H0",0.715,0.219053806459219,0.999,0.825584209449623,0.017
45,3,TRUE,TRUE,"H0",0.464,0.146385360951058,0.554,0.372239284591804,0.01
150,3,TRUE,TRUE,"H0",0.743,0.032523517947252,0.433,0.962806287377745,0.001
15,3,FALSE,TRUE,"H0",0.057,2.09371681323573,0.098,0.829603300950808,0.129
45,3,FALSE,TRUE,"H0",0.04,1.58680061033215,0.714,0.168690920220263,0.046
150,3,FALSE,TRUE,"H0",0.784,0.0321912894569606,0.072,1.71047888519738e-07,0.001
15,3,TRUE,FALSE,"H0",0.416,0.359130351219817,0.384,0.86727878791826,0.045
45,3,TRUE,FALSE,"H0",0.674,0.101878279883164,0.038,0.854505979234353,0.003
150,3,TRUE,FALSE,"H0",0.286,0.0806378828378457,0.009,0.547870124314261,0.003
15,3,TRUE,TRUE,"Ha",0.07,2.13459160215669,0.037,0.986406543767466,0.14
45,3,TRUE,TRUE,"Ha",7.09e-05,1874.14908700495,0.795,0.911605885250287,0.142
150,3,TRUE,TRUE,"Ha",1.63e-09,31623007.1996842,0.443,0.69436208038496,0.085
15,3,FALSE,TRUE,"Ha",0.05,1.72791762702635,0.31,0.678160535984526,0.098
45,3,FALSE,TRUE,"Ha",0.046,1.25655410661044,0.598,0.530003034600026,0.041
150,3,FALSE,TRUE,"Ha",1.55e-10,457059643.026383,0.043,4.55265158905149e-10,0.096
15,3,TRUE,FALSE,"Ha",0.000783,48.2588646756598,0.187,0.991639005960919,0.185
45,3,TRUE,FALSE,"Ha",0.00078,37.3603388635866,0.11,0.58481647539788,0.061
150,3,TRUE,FALSE,"Ha",3.62e-13,20501278055.549,0.003,0.486658135160886,0.075
15,3,TRUE,TRUE,"H0",0.812,0.199490600252015,0.514,0.956186352462447,0.013
45,3,TRUE,TRUE,"H0",0.987,0.0716656321873337,0.344,0.808096152177609,0.000187
150,3,TRUE,TRUE,"H0",0.168,0.150807275430234,0.41,0.416676606230927,0.008
15,3,FALSE,TRUE,"H0",0.305,0.463610841644915,0.221,0.9313267608751,0.059
45,3,FALSE,TRUE,"H0",0.708,0.101335899122065,0.433,0.437713277981953,0.005
150,3,FALSE,TRUE,"H0",0.883,0.027741687310249,0.364,4.27674773595399e-07,0.000569
15,3,TRUE,FALSE,"H0",0.478,0.275145372014745,0.784,0.975826802525101,0.019
45,3,TRUE,FALSE,"H0",0.672,0.103076678598152,0.004,0.94434675149977,0.004
150,3,TRUE,FALSE,"H0",0.997,0.0245641552402905,4.71e-05,0.887483373134326,8.11e-06
15,3,TRUE,TRUE,"Ha",0.207,0.619122271518274,0.11,0.991349258132333,0.069
45,3,TRUE,TRUE,"Ha",0.014,6.07508087087406,0.767,0.426660647436186,0.069
150,3,TRUE,TRUE,"Ha",2.32e-10,221584341.451127,0.279,0.412830313861913,0.092
15,3,FALSE,TRUE,"Ha",0.439,0.342074558677072,0.339,0.702199647861532,0.042
45,3,FALSE,TRUE,"Ha",0.27,0.231512060223122,0.662,0.00024448131990773,0.017
150,3,FALSE,TRUE,"Ha",4.19e-06,13167.3080435664,0.031,3.33066907387547e-16,0.056
15,3,TRUE,FALSE,"Ha",0.028,2.71056081707975,0.47,0.869320050265981,0.114
45,3,TRUE,FALSE,"Ha",4.01e-05,513.702948117952,0.005,0.984987216237634,0.07
150,3,TRUE,FALSE,"Ha",2.68e-16,22262238011216.7,0.000871,0.956379381351264,0.09
15,3,TRUE,TRUE,"H0",0.301,0.470443891518,0.88,0.997964373589918,0.059
45,3,TRUE,TRUE,"H0",0.979,0.0727097319212693,0.886,0.973335991973417,0.000325
150,3,TRUE,TRUE,"H0",0.675,0.0362492940540595,0.383,0.406086186345668,0.002
15,3,FALSE,TRUE,"H0",0.254,0.511426865760675,0.331,0.823539323455309,0.056
45,3,FALSE,TRUE,"H0",0.665,0.106238436398577,0.097,0.00410657188965446,0.007
150,3,FALSE,TRUE,"H0",0.701,0.0352972619923198,0.226,2.50721730543635e-06,0.002
15,3,TRUE,FALSE,"H0",0.086,1.28723726087131,0.242,0.898457688152827,0.1
45,3,TRUE,FALSE,"H0",0.793,0.101233341110005,0.204,0.659021099535271,0.001
150,3,TRUE,FALSE,"H0",0.305,0.0754942113907617,0.003,0.61409563922278,0.003
15,3,TRUE,TRUE,"Ha",0.445,0.325931777021823,0.664,0.979377311858474,0.038
45,3,TRUE,TRUE,"Ha",0.000888,114.449950481515,0.555,0.962067897466077,0.108
150,3,TRUE,TRUE,"Ha",0.000154,370.622930451117,0.969,0.957073446218556,0.042
15,3,FALSE,TRUE,"Ha",0.056,1.98695224772756,0.065,0.949005944499986,0.124
45,3,FALSE,TRUE,"Ha",0.563,0.124906680862942,0.095,0.149118838937561,0.009
150,3,FALSE,TRUE,"Ha",3.32e-09,54483104.3117914,0.883,5.53099683252567e-05,0.09
15,3,TRUE,FALSE,"Ha",0.072,1.20166516623331,0.068,0.955042272992631,0.077
45,3,TRUE,FALSE,"Ha",0.000272,91.963990213962,0.073,0.956701435640932,0.056
150,3,TRUE,FALSE,"Ha",1.35e-10,64214838.1394103,5.75e-09,0.989579233126926,0.058
15,3,TRUE,TRUE,"H0",0.771,0.208906999935884,0.6,0.997748069107765,0.016
45,3,TRUE,TRUE,"H0",0.797,0.0889826648803603,0.243,0.00220723487861518,0.003
150,3,TRUE,TRUE,"H0",0.73,0.0337345758131565,0.329,0.372325923816727,0.001
15,3,FALSE,TRUE,"H0",0.017,4.76041511091139,0.934,0.111211089946867,0.146
45,3,FALSE,TRUE,"H0",0.964,0.0794538926105915,0.938,0.424479348748763,0.000541
150,3,FALSE,TRUE,"H0",0.421,0.0588571298882301,0.101,7.82905962282143e-11,0.004
15,3,TRUE,FALSE,"H0",0.117,0.773958758837557,0.689,0.991032163944924,0.044
45,3,TRUE,FALSE,"H0",0.33,0.180129427076633,0.143,0.641083424291773,0.008
150,3,TRUE,FALSE,"H0",0.758,0.0330498483724352,3.38e-08,0.775488327481496,0.000796
15,3,TRUE,TRUE,"Ha",0.179,0.821053771144937,0.257,0.774459043753968,0.09
45,3,TRUE,TRUE,"Ha",0.005,15.8628745793944,0.192,0.963553546125043,0.081
150,3,TRUE,TRUE,"Ha",1.47e-09,75399797.5657687,0.808,0.446748601179065,0.091
15,3,FALSE,TRUE,"Ha",0.00032,165.480809964592,0.509,0.697369240783658,0.261
45,3,FALSE,TRUE,"Ha",0.035,2.2697269477887,0.147,0.397360839875101,0.054
150,3,FALSE,TRUE,"Ha",9.63e-09,6285457.84435873,0.862,4.72749579604193e-05,0.08
15,3,TRUE,FALSE,"Ha",0.162,0.612421290771233,0.235,0.976002942650618,0.042
45,3,TRUE,FALSE,"Ha",3.93e-05,547.838064112379,0.107,0.33763399746847,0.081
150,3,TRUE,FALSE,"Ha",8.16e-13,9158129542.19226,0.02,0.692326970439143,0.07
15,3,TRUE,TRUE,"H0",0.462,0.334637867928083,0.299,0.876223010518752,0.043
45,3,TRUE,TRUE,"H0",0.639,0.103161266170054,0.694,0.998810357381564,0.007
150,3,TRUE,TRUE,"H0",0.965,0.026220483558372,0.589,0.397145718541077,0.000173
15,3,FALSE,TRUE,"H0",0.397,0.325907020666838,0.669,0.946756942816314,0.029
45,3,FALSE,TRUE,"H0",0.274,0.240465918341987,0.799,0.00160679900618133,0.018
150,3,FALSE,TRUE,"H0",0.355,0.0698321856028814,0.085,1.59983137848485e-13,0.005
15,3,TRUE,FALSE,"H0",0.616,0.229819387770135,0.285,0.953601126085901,0.009
45,3,TRUE,FALSE,"H0",0.944,0.0742422626473227,0.071,0.975314922692079,0.000602
150,3,TRUE,FALSE,"H0",0.311,0.0733621396799769,0.002,0.809677081567863,0.003
15,3,TRUE,TRUE,"Ha",0.11,1.16167264915944,0.993,0.996201303141627,0.103
45,3,TRUE,TRUE,"Ha",0.013,4.37432739606231,0.423,0.979662384247664,0.059
150,3,TRUE,TRUE,"Ha",1.09e-08,5014765.44199867,0.642,0.961590579945841,0.078
15,3,FALSE,TRUE,"Ha",0.687,0.224812414563142,0.152,0.841913704452684,0.018
45,3,FALSE,TRUE,"Ha",0.006,8.56093095890392,0.619,0.000922589081039038,0.067
150,3,FALSE,TRUE,"Ha",1.5e-09,21504927.452882,0.778,9.55271195479668e-10,0.082
15,3,TRUE,FALSE,"Ha",0.351,0.360722258342869,0.077,0.970810818192625,0.035
45,3,TRUE,FALSE,"Ha",2e-05,1145.8327873376,0.091,0.87935776498026,0.105
150,3,TRUE,FALSE,"Ha",1.59e-14,458410107616.666,0.000682,0.931046317369968,0.091
15,3,TRUE,TRUE,"H0",0.541,0.267503158164725,0.651,0.999198905774055,0.021
45,3,TRUE,TRUE,"H0",0.95,0.075585905478909,0.599,0.500101201668567,0.000874
150,3,TRUE,TRUE,"H0",0.76,0.0321112213669375,0.164,0.0758136154895148,0.001
15,3,FALSE,TRUE,"H0",0.032,3.33404698060291,0.33,0.756317324772831,0.146
45,3,FALSE,TRUE,"H0",0.409,0.171466581031833,0.905,0.103110639391143,0.014
150,3,FALSE,TRUE,"H0",0.871,0.0281867386897428,0.891,8.23918711034821e-12,0.000622
15,3,TRUE,FALSE,"H0",0.122,0.746971734755157,0.205,0.880254345839186,0.041
45,3,TRUE,FALSE,"H0",0.884,0.0782686283818176,0.001,0.179995776876372,0.001
150,3,TRUE,FALSE,"H0",0.363,0.0647394598175889,5.42e-07,0.788134447649714,0.003
15,3,TRUE,TRUE,"Ha",0.425,0.348407663854885,0.697,0.903756887568557,0.041
45,3,TRUE,TRUE,"Ha",0.011,4.46062170480253,0.296,0.988948141987665,0.056
150,3,TRUE,TRUE,"Ha",1.05e-05,3207.00830065936,0.691,0.872364019639892,0.049
15,3,FALSE,TRUE,"Ha",0.555,0.281631639931756,0.705,0.90195858164696,0.032
45,3,FALSE,TRUE,"Ha",0.128,0.492287405383391,0.931,0.398914268795479,0.029
150,3,FALSE,TRUE,"Ha",3.11e-05,1912.42429441416,0.629,1.03709016263664e-07,0.049
15,3,TRUE,FALSE,"Ha",0.035,1.86256108944652,0.093,0.999920731976157,0.052
45,3,TRUE,FALSE,"Ha",9.14e-05,244.654933066503,0.063,0.578744826791098,0.069
150,3,TRUE,FALSE,"Ha",2.05e-12,3712917978.57165,0.005,0.231078981708941,0.066
15,3,TRUE,TRUE,"H0",0.161,0.883132943657898,0.124,0.863526906080125,0.093
45,3,TRUE,TRUE,"H0",0.176,0.354613619954557,0.553,0.953223126165503,0.023
150,3,TRUE,TRUE,"H0",0.404,0.0603799752230263,0.601,0.280363872653587,0.004
15,3,FALSE,TRUE,"H0",0.801,0.197389821758725,0.916,0.295524469504579,0.012
45,3,FALSE,TRUE,"H0",0.134,0.465526311638939,0.581,0.234347486469668,0.027
150,3,FALSE,TRUE,"H0",0.115,0.226756839778622,0.887,1.62889368660046e-10,0.01
15,3,TRUE,FALSE,"H0",0.36,0.355460863436346,0.042,0.998099474854098,0.035
45,3,TRUE,FALSE,"H0",0.668,0.0985991370581954,0.105,0.596534754650195,0.004
150,3,TRUE,FALSE,"H0",0.473,0.0504786206997238,0.000482,0.901611914865397,0.002
15,3,TRUE,TRUE,"Ha",0.607,0.24979061893407,0.475,0.978800329119785,0.025
45,3,TRUE,TRUE,"Ha",0.081,0.951169880283045,0.013,0.80599803477389,0.041
150,3,TRUE,TRUE,"Ha",4.73e-09,17066837.506524,0.482,0.967471952630766,0.084
15,3,FALSE,TRUE,"Ha",0.272,0.518472020961267,0.44,0.810578551246935,0.065
45,3,FALSE,TRUE,"Ha",0.043,1.88623658900408,0.555,0.0119531730820377,0.051
150,3,FALSE,TRUE,"Ha",9.24e-06,3368.45981254162,0.905,2.39068764784633e-11,0.049
15,3,TRUE,FALSE,"Ha",0.003,20.82018586987,0.832,0.570902267304573,0.188
45,3,TRUE,FALSE,"Ha",1.44e-05,1460.49876168616,0.003,0.935585391584589,0.101
150,3,TRUE,FALSE,"Ha",3.9e-11,338409179.09133,0.002,0.770347708870585,0.068
15,3,TRUE,TRUE,"H0",0.523,0.27270267015878,0.73,0.812585391558901,0.026
45,3,TRUE,TRUE,"H0",0.075,1.04421373256659,0.34,0.71544417983298,0.042
150,3,TRUE,TRUE,"H0",0.501,0.0490816196153758,0.486,0.601172803122795,0.003
15,3,FALSE,TRUE,"H0",0.196,0.704019289497667,0.78,0.936600272380028,0.08
45,3,FALSE,TRUE,"H0",0.649,0.110179997391136,0.09,0.00117681424879634,0.007
150,3,FALSE,TRUE,"H0",0.706,0.0345370910289055,0.39,0,0.001
15,3,TRUE,FALSE,"H0",0.243,0.510506844300464,0.192,0.961217046487796,0.05
45,3,TRUE,FALSE,"H0",0.752,0.0913652751436413,0.187,0.89305471968492,0.002
150,3,TRUE,FALSE,"H0",0.969,0.0252777133078462,0.024,0.925635605437236,7.2e-05
15,3,TRUE,TRUE,"Ha",0.378,0.422935505852954,0.708,0.97985784713382,0.058
45,3,TRUE,TRUE,"Ha",0.007,7.61087495456708,0.983,0.930808688337981,0.066
150,3,TRUE,TRUE,"Ha",5.19e-07,108011.168753833,0.053,0.190924781571759,0.064
15,3,FALSE,TRUE,"Ha",0.055,2.79660151034803,0.665,0.476521193820056,0.153
45,3,FALSE,TRUE,"Ha",0.002,22.9712758709717,0.879,0.00156968821775672,0.082
150,3,FALSE,TRUE,"Ha",9.49e-08,850017.570149536,0.437,0,0.073
15,3,TRUE,FALSE,"Ha",0.068,1.96934948138811,0.771,0.762721685188313,0.131
45,3,TRUE,FALSE,"Ha",0.18,0.321901041424386,0.03,0.97122490535352,0.019
150,3,TRUE,FALSE,"Ha",6.12e-12,1329375475.02715,0.002,0.846678517299572,0.071
15,3,TRUE,TRUE,"H0",0.118,1.38609844730209,0.862,0.923072603666297,0.12
45,3,TRUE,TRUE,"H0",0.596,0.121880214723926,0.393,0.933483433784654,0.008
150,3,TRUE,TRUE,"H0",0.796,0.0308009785412707,0.194,0.600883105087175,0.001
15,3,FALSE,TRUE,"H0",0.126,0.96811000553928,0.511,0.981573385531915,0.091
45,3,FALSE,TRUE,"H0",0.492,0.143411716978031,0.965,0.019984007044766,0.011
150,3,FALSE,TRUE,"H0",0.93,0.0264214796591138,0.037,5.55111512312578e-16,0.000297
15,3,TRUE,FALSE,"H0",0.771,0.199374026237805,0.931,0.765996935938218,0.009
45,3,TRUE,FALSE,"H0",0.537,0.12508358786614,0.009,0.905114256177016,0.006
150,3,TRUE,FALSE,"H0",0.38,0.0606774492523507,0.000355,0.860695138454176,0.002
15,3,TRUE,TRUE,"Ha",0.732,0.221403531850768,0.526,0.886396906796399,0.02
45,3,TRUE,TRUE,"Ha",0.002,52.5258782283068,0.073,0.724192972798959,0.101
150,3,TRUE,TRUE,"Ha",1.53e-06,26604.3283687251,0.949,0.593417200219732,0.058
15,3,FALSE,TRUE,"Ha",0.006,9.7046918422543,0.688,0.941352325030084,0.161
45,3,FALSE,TRUE,"Ha",0.000727,189.700048144537,0.405,0.256874690158122,0.119
150,3,FALSE,TRUE,"Ha",4.05e-09,24921733.5527661,0.722,2.07641449589957e-08,0.086
15,3,TRUE,FALSE,"Ha",0.361,0.350255804177185,0.601,0.989492027985408,0.034
45,3,TRUE,FALSE,"Ha",9.12e-05,259.335923602602,0.451,0.887875301748445,0.078
150,3,TRUE,FALSE,"Ha",6.64e-12,1261501479.28283,0.004,0.987875974285874,0.074
15,3,TRUE,TRUE,"H0",0.833,0.188992466762882,0.7,0.993520120637152,0.007
45,3,TRUE,TRUE,"H0",0.461,0.15015554452309,0.454,0.396043247091694,0.011
150,3,TRUE,TRUE,"H0",0.037,0.731894337829857,0.948,0.697738405211461,0.015
15,3,FALSE,TRUE,"H0",0.957,0.169647175258688,0.921,0.640446346577343,0.002
45,3,FALSE,TRUE,"H0",0.921,0.0765828209232897,0.076,0.0266545559318558,0.001
150,3,FALSE,TRUE,"H0",0.325,0.0763821973004864,0.294,1.99840144432528e-15,0.005
15,3,TRUE,FALSE,"H0",0.605,0.236874463175312,0.437,0.997019515509001,0.01
45,3,TRUE,FALSE,"H0",0.56,0.117850092371068,0.295,0.740261354471109,0.006
150,3,TRUE,FALSE,"H0",0.379,0.0600981831610865,0.000661,0.624454512227026,0.002
15,3,TRUE,TRUE,"Ha",0.532,0.296363219340036,0.133,0.950892960201994,0.032
45,3,TRUE,TRUE,"Ha",0.004,15.6307798677501,0.687,0.941657469833453,0.077
150,3,TRUE,TRUE,"Ha",7.42e-09,7958720.46920423,0.928,0.323548386125591,0.08
15,3,FALSE,TRUE,"Ha",0.326,0.540021499257879,0.318,0.883333993608648,0.056
45,3,FALSE,TRUE,"Ha",0.008,9.22727358306046,0.006,0.0772724826662603,0.072
150,3,FALSE,TRUE,"Ha",2.45e-06,9448.10099797238,0.907,4.44089209850063e-16,0.051
15,3,TRUE,FALSE,"Ha",0.000106,198.087612787359,0.86,0.958183495848936,0.134
45,3,TRUE,FALSE,"Ha",0.000567,51.85966699028,0.016,0.899852125525872,0.071
150,3,TRUE,FALSE,"Ha",1.37e-05,1009.70066582303,0.000172,0.829841246902192,0.032
15,3,TRUE,TRUE,"H0",0.542,0.293108183061636,0.576,0.98032166006356,0.036
45,3,TRUE,TRUE,"H0",0.104,0.617064267340658,0.652,0.964714865298871,0.032
150,3,TRUE,TRUE,"H0",0.969,0.0256600211045807,0.917,0.993508462766839,0.000129
15,3,FALSE,TRUE,"H0",0.346,0.384962060100577,0.6,0.868412837461519,0.044
