"","n","hypothesis","normality","p","mean","BF","Shapiro"
"861",150,"Ha",TRUE,5.81517731160461e-05,3.33279006481084,261.971728434495,0.203747217154503
"862",15,"Ha",FALSE,0.0621264300653745,4.81133438995551,1.30116128310759,0.0908195683003191
"863",40,"Ha",FALSE,5.94323911482774e-05,6.52642308075596,390.816991241294,0.000213811619887409
"864",150,"Ha",FALSE,2.65323665664359e-05,3.5368929338467,546.234966588713,2.79607150313078e-07
"865",15,"H0",TRUE,0.604110423186067,1.38715301885304,0.296900442106812,0.868312580214309
"866",40,"H0",TRUE,0.791526325813686,0.483612648305291,0.176360628098824,0.175105573619316
"867",150,"H0",TRUE,0.320299869876916,0.769255695607915,0.147922352258368,0.574956372216551
"868",15,"H0",FALSE,0.394435671846365,-2.41333340479886,0.366280528832298,0.155459426889158
"869",40,"H0",FALSE,0.680549221636498,0.612443220336543,0.184948732385794,0.00079505818051765
"870",150,"H0",FALSE,0.908738452726509,-0.0924009879653322,0.0915398476792869,2.17300337024637e-07
"871",15,"Ha",TRUE,0.0099381463783102,5.5116928883213,5.59831398829755,0.683273012254141
"872",40,"Ha",TRUE,0.000508588564969947,5.38567124535949,55.8767705314833,0.255428755307394
"873",150,"Ha",TRUE,0.00864478334804634,2.15497365619013,2.715479852224,0.3377546801258
"874",15,"Ha",FALSE,0.297960501095404,-2.08775111874767,0.431885182423982,0.0595896758424254
"875",40,"Ha",FALSE,0.0873664123578311,3.08383505747275,0.688936557227602,0.000337307421284007
"876",150,"Ha",FALSE,1.30529743820686e-08,4.2771098035124,764405.535538935,1.47821917842411e-06
"877",15,"H0",TRUE,0.831206067542996,0.505767181303286,0.267893967328835,0.766134795655559
"878",40,"H0",TRUE,0.282574745602905,1.83130371699092,0.296011585806137,0.647033616392755
"879",150,"H0",TRUE,0.160935389038311,1.21560433332548,0.239413386531078,0.576848525506773
"880",15,"H0",FALSE,0.890853372492323,-0.242264239490357,0.264634115456133,0.610462881551637
"881",40,"H0",FALSE,0.429274364551267,1.15698046356957,0.229840595654181,0.0181939758060066
"882",150,"H0",FALSE,0.991687910102353,0.00822379664528605,0.0909543448868744,2.05028747639803e-07
"883",15,"Ha",TRUE,0.444342720508807,1.86470752442997,0.343400329336497,0.999100155892232
"884",40,"Ha",TRUE,0.00030320215801086,5.61430532216864,88.9858039686214,0.746575540551512
"885",150,"Ha",TRUE,9.28185171826303e-05,3.33105941789181,169.345945222627,0.89383565202961
"886",15,"Ha",FALSE,0.0282119407013644,5.82915915571542,2.40676995374395,0.380841695797243
"887",40,"Ha",FALSE,0.0366726918551534,3.8604392115057,1.37438739652878,0.0607429691953512
"888",150,"Ha",FALSE,5.35725264542977e-06,3.8837107279253,2464.94455187011,2.92136034817809e-07
"889",15,"H0",TRUE,0.669086595588522,1.11805026774597,0.28535813477962,0.300194131595978
"890",40,"H0",TRUE,0.52263808306947,1.03154186004174,0.207312940392092,0.612174421386278
